iauname,ra,dec,redshift,exposure time,SB,Halpha,Hbeta,OIII
J011242.10+010839.2,18.1754477268895,1.14424169062217,0.04432463,2000,20.877440955333647,6853.693681764,5076.879756281999,5228.93342241
J015911.34+000635.1,29.797256899935398,0.10977663338727603,0.01931902,1600,20.705160955333646,6689.586864456,4955.317483827999,5103.73033314
J142049.60+052627.5,215.20668829842305,5.44099379739655,0.02751339,1100,20.435210955333645,6743.364875892,4995.153594146,5144.75954373
J102153.20+001743.3,155.47167356482,0.295374634774652,0.02148222,900,20.26355095533365,6703.7835134160005,4965.833664307999,5114.56147554
J092000.86+192200.2,140.003584224963,19.3667298530778,0.04652925,7000,21.713840955333648,6868.162161900001,5087.59729595,5239.971954750001
J133524.55+012438.1,203.852304607228,1.41059289934672,0.01745353,600,19.840630955333648,6677.344026684001,4946.248590742,5094.3898247100005
J115759.03+230729.6,179.49598051216202,23.1249022149854,0.02184857,500,19.765110955333647,6706.187795196,4967.614638198,5116.39578999
J135256.55+024851.4,208.23564897344602,2.8142787507030698,0.01545377,400,19.585200955333647,6664.220001756,4936.5269574779995,5084.37702639
J022956.39+011044.6,37.484980246458896,1.17907745634505,0.02217409,400,19.513830955333646,6708.324117852,4969.197121126,5118.02566863
J130300.82+032357.1,195.75342991778095,3.39919977218423,0.04035129,4000,21.304070955333646,6827.617446012,5057.563761206,5209.0389090300005
J141452.03+140733.1,213.716822257652,14.1258684348794,0.01658998,850,20.213090955333648,6671.676720744,4942.050528772,5090.06602986
J132056.14+013013.2,200.233930469455,1.50368718588489,0.02023552,900,20.290860955333645,6695.601670655999,4959.772956927999,5108.319248639999
J100759.89+303215.8,151.999556048335,30.5377344762377,0.02059111,3500,21.262640955333648,6697.935336708,4961.501622154,5110.09968777
J092032.19+070426.6,140.134145228721,7.0740757379144,0.01843517,8000,21.748840955333648,6683.786333676,4951.020735438,5099.30489619
J093132.07+004058.5,142.883657670222,0.682919990982632,0.04585354,5500,21.563460955333646,6863.727612312,5084.312399355999,5236.58867478
J092256.93+012602.4,140.73724799810802,1.43400448006944,0.01746028,350,19.380190955333646,6677.388325584001,4946.281405192,5094.423621960001
J133706.47+002204.7,204.27699290403402,0.3679875879062911,0.04738048,4000,21.325490955333652,6873.7486141439995,5091.735465471999,5244.23406336
J024141.34+010736.6,40.4222567242311,1.1268367914999,0.04598815,8500,21.848800955333648,6864.6110308199995,5084.9667924099995,5237.262667049999
J104112.96+060739.9,160.30404093381202,6.1277603147734805,0.03421503,2000,20.81405095533365,6787.346398883999,5027.732946841999,5178.31465521
J023153.52+011234.2,37.9730040108816,1.2095160499808202,0.02512217,1300,20.506190955333647,6727.671777275999,4983.528917237999,5132.786705189999
J105231.11+071329.6,163.129644695549,7.224899062570389,0.02173732,1100,20.378600955333653,6705.457683696,4967.073807448,5115.83876124
J131936.84+030157.3,199.903516649168,3.03259910695992,0.01974647,450,19.709920955333647,6692.392133316001,4957.3954892579995,5105.8705752900005
J101117.86+002632.6,152.824435116752,0.442414387793774,0.0120204,3500,21.249910955333647,6641.68748112,4919.835972559999,5067.186142799999
J133558.58+014348.2,203.994102427198,1.73005631692761,0.02291195,6500,21.66053095533365,6713.16654546,4972.784153729999,5121.720133649999
J102542.13+004546.8,156.425556452494,0.763026981934547,0.02161491,900,20.273010955333646,6704.654331348001,4966.478723474,5115.22585437
J023240.17+001536.2,38.167396371984,0.26007409628467104,0.02056088,300,19.245840955333648,6697.736943264,4961.354662031999,5109.94832616
J121209.56+174525.3,183.03984242952703,17.757031063805197,0.02333645,200,18.812970955333647,6715.95245406,4974.847818029999,5123.84560515
J021704.77+011439.0,34.2698838893468,1.24416785717392,0.02141141,250,19.020230955333645,6703.318801548,4965.489428574,5114.20692987
J125113.09+045134.9,192.80372326767898,4.85903250862036,0.0250358,550,19.820550955333648,6727.104948239999,4983.109038119999,5132.354250599999
J140312.79+085344.1,210.803296605516,8.89559541349469,0.01809297,350,19.451800955333646,6681.540543516001,4949.357164358,5097.59150079
